"home_ID","ADDRESS","NEIGHBORHOOD","BUILDING.CLASS.CATEGORY","BLOCK","LOT","ZIP.CODE","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","TAX.CLASS.AT.TIME.OF.SALE","BUILDING.CLASS.AT.TIME.OF.SALE","SALE.PRICE","SALE.DATE","lat","lon","num_schools","num_food","num_parks","num_subway","neighborhood_ord"
62,"186 SULLIVAN STREET, Manhattan","GREENWICH VILLAGE-CENTRAL","01 ONE FAMILY DWELLINGS",526,66,10012,1,0,"1","2,252","3,960",1899,1,"A4",13125000,"6/28/19",40.7284984,-74.00090545,2,0,49,4,12
63,"208 WEST 11TH STREET, Manhattan","GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS",613,49,10014,1,0,"1","1,062","3,040",1910,1,"A4",8900000,"4/4/19",40.73633255,-74.0015961216274,0,1,29,6,12
64,"215 EAST 61ST STREET, Manhattan","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS",1416,8,10065,1,0,"1","1,808","5,045",1905,1,"A4",9999999,"6/25/19",40.762617,-73.9647753648586,1,0,19,3,15
65,"215 WEST 138TH STREET, Manhattan","HARLEM-CENTRAL","01 ONE FAMILY DWELLINGS",2024,24,10030,1,0,"1","1,699","4,400",1910,1,"A4",2575000,"9/11/19",40.81772625,-73.9430259475257,5,1,53,2,5
66,"216 EAST 50TH STREET, Manhattan","MIDTOWN EAST","01 ONE FAMILY DWELLINGS",1323,42,10022,1,1,"2","1,296","3,000",1899,1,"S1",3400000,"5/28/19",40.7553547,-73.97011305,0,1,11,2,13
67,"217 EAST 17TH STREET, Manhattan","GRAMERCY","02 TWO FAMILY DWELLINGS",898,13,10003,2,0,"2","1,380","4,125",1900,1,"B1",4700000,"9/19/19",40.73497425,-73.9848144452713,10,0,29,2,10
68,"218 WEST 15TH STREET, Manhattan","CHELSEA","01 ONE FAMILY DWELLINGS",764,49,10011,1,0,"1","2,141","3,935",1910,1,"A9",2421900,"5/22/19",40.7395764,-74.000218,9,0,29,6,11
69,"219 EAST 17TH STREET, Manhattan","GRAMERCY","02 TWO FAMILY DWELLINGS",898,14,10003,2,0,"2","1,380","3,000",1910,1,"B1",5497500,"6/27/19",40.7349529,-73.9847677058164,10,0,28,2,10
70,"219 EAST 59TH STREET, Manhattan","UPPER EAST SIDE (59-79)","02 TWO FAMILY DWELLINGS",1414,10,10022,2,1,"3","2,209","4,800",1910,1,"S2",5425000,"3/11/20",40.76135395,-73.9655245503756,1,0,18,3,15
71,"22 BANK STREET, Manhattan","GREENWICH VILLAGE-WEST","02 TWO FAMILY DWELLINGS",614,21,10014,2,0,"2","1,784","3,200",1910,1,"B1",17425000,"6/3/19",40.73686995,-74.0024175387073,0,1,29,5,12
